"","death_2030","cost_2030","ICER_2030","death_2035","cost_2035","ICER_2035"
"scenario 2 v.s. 1","13.2880","4,916,064.4139","369,962.7042","26.7074","9,294,154.6979","347,999.2323"
"scenario 3a v.s. 1","48.0419","54,346,999.3201","1,131,241.6728","90.9477","87,021,566.1882","956,830.8620"
"scenario3b v.s. 1","49.4450","59,248,175.5409","1,198,264.2439","92.3955","96,286,769.7052","1,042,115.3596"
"scenario4a v.s. 1","0.0000","-49,636,478.0120","Inf","0.0000","-79,487,916.2262","Inf"
"scenario 4b v.s. 1","13.2880","-47,174,249.2754","-3,550,139.1688","26.7074","-74,832,905.0520","-2,801,953.9548"
"scenario 4c v.s. 1","48.0419","-8,299,004.2893","-172,745.1306","90.9477","-28,359,384.1342","-311,820.7952"
"scenario 4d v.s. 1","49.4450","-6,755,573.9603","-136,628.0506","92.3955","-26,312,447.1314","-284,780.6130"
