"","death_2030","cost_2030","ICER_2030","death_2035","cost_2035","ICER_2035"
"scenario 2 v.s. 1","16.8405","12,158,562.7199","721,983.4755","33.9701","24,589,232.3896","723,849.2789"
"scenario 3a v.s. 1","61.3287","70,048,557.2055","1,142,182.3258","116.1553","112,085,827.7700","964,965.2471"
"scenario3b v.s. 1","63.0801","82,237,215.0528","1,303,695.0647","117.9510","136,735,047.7410","1,159,252.9757"
"scenario4a v.s. 1","0.0000","-113,531,087.3310","Inf","0.0000","-181,804,966.9170","Inf"
"scenario 4b v.s. 1","16.8405","-107,447,731.9980","-6,380,317.2114","33.9701","-169,502,111.6020","-4,989,744.2634"
"scenario 4c v.s. 1","61.3287","-74,692,949.3159","-1,217,911.8311","116.1553","-154,206,299.4780","-1,327,587.2860"
"scenario 4d v.s. 1","63.0801","-70,935,595.0783","-1,124,532.0644","117.9510","-149,053,938.1440","-1,263,693.7215"
