"Year","Scenario","China","Guangxi","Shaanxi","Hunan","Tianjin","Shandong","Guizhou"
2032,"scenario 2","213 (148,285)","8 (5,10)","6 (4,8)","14 (10,20)","2 (1,2)","10 (7,14)","6 (4,8)"
2032,"scenario 3a","2 (0,32)","0 (0,1)","0 (0,1)","0 (0,2)","0 (0,0)","0 (0,1)","0 (0,1)"
2032,"scenario 3b","1 (0,22)","0 (0,1)","0 (0,0)","0 (0,1)","0 (0,0)","0 (0,1)","0 (0,0)"
2032,"scenario 4a","309 (215,412)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2032,"scenario 4b","213 (148,285)","8 (5,10)","6 (4,8)","14 (10,20)","2 (1,2)","10 (7,14)","6 (4,8)"
2032,"scenario 4c","2 (0,32)","0 (0,1)","0 (0,1)","0 (0,2)","0 (0,0)","0 (0,1)","0 (0,1)"
2032,"scenario 4d","1 (0,22)","0 (0,1)","0 (0,0)","0 (0,1)","0 (0,0)","0 (0,1)","0 (0,0)"
2033,"scenario 1","310 (215,413)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2033,"scenario 2","213 (148,286)","8 (5,10)","6 (4,8)","14 (10,18)","2 (1,2)","10 (7,14)","6 (4,8)"
2033,"scenario 3a","0 (0,3)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2033,"scenario 3b","0 (0,2)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2033,"scenario 4a","310 (215,413)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2033,"scenario 4b","213 (148,286)","8 (5,10)","6 (4,8)","14 (10,18)","2 (1,2)","10 (7,14)","6 (4,8)"
2033,"scenario 4c","0 (0,3)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2033,"scenario 4d","0 (0,2)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2034,"scenario 1","310 (216,414)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2034,"scenario 2","214 (149,286)","8 (5,10)","6 (4,8)","13 (9,17)","2 (1,2)","10 (7,14)","6 (4,8)"
2034,"scenario 3a","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2034,"scenario 3b","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2034,"scenario 4a","310 (216,414)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2034,"scenario 4b","214 (149,286)","8 (5,10)","6 (4,8)","13 (9,17)","2 (1,2)","10 (7,14)","6 (4,8)"
2034,"scenario 4c","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2034,"scenario 4d","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2035,"scenario 1","310 (216,414)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","9 (6,11)"
2035,"scenario 2","214 (149,286)","8 (5,10)","6 (4,8)","12 (8,16)","2 (1,2)","10 (7,14)","6 (4,8)"
2035,"scenario 3a","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2035,"scenario 3b","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2035,"scenario 4a","310 (216,414)","11 (8,15)","9 (6,12)","23 (16,30)","3 (2,4)","10 (7,14)","9 (6,11)"
2035,"scenario 4b","214 (149,286)","8 (5,10)","6 (4,8)","12 (8,16)","2 (1,2)","10 (7,14)","6 (4,8)"
2035,"scenario 4c","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
2035,"scenario 4d","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)","0 (0,0)"
