"","death_2030","cost_2030","ICER_2030","death_2035","cost_2035","ICER_2035"
"scenario 2 v.s. 1","24.9116","13,130,426.5162","527,080.8184","69.7326","33,333,842.1549","478,023.7960"
"scenario 3a v.s. 1","125.7375","91,701,474.5497","729,308.8740","238.3108","146,811,416.4400","616,050.2018"
"scenario3b v.s. 1","128.1706","104,823,671.2810","817,844.8980","240.8578","180,122,491.4120","747,837.4851"
"scenario4a v.s. 1","0.0000","-128,280,779.6000","Inf","0.0000","-205,424,252.4970","Inf"
"scenario 4b v.s. 1","24.9116","-121,709,592.5960","-4,885,659.3954","69.7326","-188,742,166.0390","-2,706,656.0839"
"scenario 4c v.s. 1","125.7375","-70,315,941.7771","-559,228.0885","238.3108","-152,093,182.9590","-638,213.5554"
"scenario 4d v.s. 1","128.1706","-66,341,852.6617","-517,605.8524","240.8578","-145,875,249.7290","-605,648.8506"
