"","death_2030","cost_2030","ICER_2030","death_2035","cost_2035","ICER_2035"
"scenario 2 v.s. 1","5.3773","2,573,546.1603","478,594.4917","10.4092","4,600,512.8804","441,966.0378"
"scenario 3a v.s. 1","15.0394","15,253,678.6234","1,014,247.8173","28.4163","24,423,407.2394","859,485.8317"
"scenario3b v.s. 1","15.6858","17,823,364.7006","1,136,273.8720","29.0771","29,016,743.7279","997,924.2678"
"scenario4a v.s. 1","0.0000","-19,248,436.3359","Inf","0.0000","-30,826,302.3763","Inf"
"scenario 4b v.s. 1","5.3773","-17,960,274.7820","-3,340,017.2544","10.4092","-28,523,563.8781","-2,740,226.3265"
"scenario 4c v.s. 1","15.0394","-9,064,616.9762","-602,724.6417","28.4163","-20,358,705.4516","-716,444.6269"
"scenario 4d v.s. 1","15.6858","-8,213,788.6389","-523,644.8660","29.0771","-19,273,620.2857","-662,845.3417"
