"","death_2030","cost_2030","ICER_2030","death_2035","cost_2035","ICER_2035"
"scenario 2 v.s. 1","0.4400","3,669,506.6193","8,339,787.7711","1.2319","9,315,672.5683","7,562,036.3408"
"scenario 3a v.s. 1","57.3253","140,017,660.6370","2,442,510.7350","108.6529","224,189,692.8480","2,063,356.7337"
"scenario3b v.s. 1","57.3678","143,681,237.9290","2,504,562.4537","108.6984","233,489,644.4990","2,148,050.4267"
"scenario4a v.s. 1","0.0000","-144,075,762.1060","Inf","0.0000","-230,717,403.6900","Inf"
"scenario 4b v.s. 1","0.4400","-142,238,833.6200","-323,270,076.4090","1.2319","-226,054,045.3480","-183,500,320.9250"
"scenario 4c v.s. 1","57.3253","-41,408,684.8551","-722,345.7157","108.6529","-109,977,275.7890","-1,012,189.0515"
"scenario 4d v.s. 1","57.3678","-40,288,131.9813","-702,277.7931","108.6984","-108,203,976.8810","-995,451.4223"
