"","death_2030","cost_2030","ICER_2030","death_2035","cost_2035","ICER_2035"
"scenario 2 v.s. 1","476.7505","170,484,150.9400","357,596.1660","958.1848","323,646,602.1710","337,770.5451"
"scenario 3a v.s. 1","1,724.0553","1,964,755,840.3700","1,139,613.0045","3,265.3208","3,144,242,343.7100","962,919.8894"
"scenario3b v.s. 1","1,775.2516","2,135,788,358.1600","1,203,090.5130","3,318.4730","3,468,905,794.3400","1,045,331.9326"
"scenario4a v.s. 1","0.0000","-1,626,651,045.5900","Inf","0.0000","-2,604,825,836.1200","Inf"
"scenario 4b v.s. 1","476.7505","-1,541,284,267.5300","-3,232,894.9158","958.1848","-2,442,765,800.0200","-2,549,368.1386"
"scenario 4c v.s. 1","1,724.0553","-93,649,103.9214","-54,319.0836","3,265.3208","-649,688,224.5980","-198,966.1244"
"scenario 4d v.s. 1","1,775.2516","-39,447,756.5466","-22,220.9385","3,318.4730","-577,531,332.3570","-174,035.2663"
