2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
0.000308186,0.000237007,0.000172333,5.64182E-05,3.55509E-06,2.58E-06,0,0,0,0,0,0,0,0,0,0
0.000297089,0.000272192,0.000108892,1.19258E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.000809052,0.000344027,0.000170913,9.3113E-05,2.62189E-05,4.73589E-06,0,0,0,0,0,0,0,0,0,0
0.000521041,0.000329366,0.000178488,0.000109626,1.42204E-05,4.32E-07,0,0,0,0,0,0,0,0,0,0
0.000428233,0.00021746,7.19632E-05,2.56864E-05,0.000121762,2.28184E-05,8.34E-07,0,0,0,0,0,0,0,0,0
0.000369218,0.000284897,0.000157183,0.00023026,4.13281E-05,2.06657E-05,2.12729E-05,7.67817E-06,0,0,0,0,0,0,0,0
0.000161407,0.000172502,0.00014582,6.74267E-05,4.44E-07,0,0,0,0,0,0,0,0,0,0,0
0.000262286,0.000144159,6.77022E-05,3.3484E-05,2.22194E-05,0,0,0,0,0,0,0,0,0,0,0
0.000339963,0.000144648,5.63396E-05,1.37606E-05,1.42204E-05,0,0,0,0,0,0,0,0,0,0,0
0.000301629,0.00016957,9.94229E-05,4.12817E-05,1.78E-06,0,0,0,0,0,0,0,0,0,0,0
0.000284984,0.000164683,7.00694E-05,0.000147238,3.15515E-05,7.3191E-06,0,0,0,0,0,0,0,0,0,0
0.000243119,0.000185208,6.9596E-05,4.03643E-05,5.77704E-06,4.21925E-05,2.169E-05,6.86994E-06,0,0,0,0,0,0,0,0
0.000280444,0.000251667,0.00020216,5.64182E-05,2.7552E-05,2.15268E-05,1.67E-06,0,0,0,0,0,0,0,0,0
0.000378297,0.000137806,0.000116467,0.000227508,5.59928E-05,1.63604E-05,0,0,0,0,0,0,0,0,0,0
0.000246145,9.18708E-05,0.000113626,3.85295E-05,6.35474E-05,1.46382E-05,0,0,0,0,0,0,0,0,0,0
0.000362157,0.000201822,5.91803E-05,3.16493E-05,2.13306E-05,1.85131E-05,3.79576E-05,7.83982E-05,2.23166E-05,4.17246E-06,0,0,0,0,0,0
0.000470097,0.000311774,0.000151975,1.37606E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.000305664,0.000142693,0.000110785,4.81619E-05,7.99899E-06,0,0,0,0,0,0,0,0,0,0,0
0.000413101,0.000123146,8.47462E-05,2.75E-06,0,0,0,0,0,0,0,0,0,0,0,0
0.000412596,0.000146602,4.59239E-05,2.52277E-05,1.73311E-05,2.54016E-05,3.50378E-05,3.96032E-05,8.02613E-05,3.71728E-05,3.66E-07,0,0,0,0,0
0.000501874,0.000151,4.26098E-05,6.42159E-06,0,0,0,0,0,0,0,0,0,0,0,0
0.000187635,7.37898E-05,7.57509E-06,2.29E-06,0,0,0,0,0,0,0,0,0,0,0,0
0.000258755,0.000111906,8.28524E-05,1.05497E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.000266321,0.000302489,0.000242402,0.00014311,0.00011643,2.411E-05,8.34E-07,0,0,0,0,0,0,0,0,0
0.000628478,0.000350868,0.000119781,2.38516E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.000356608,0.000279522,0.000116467,0.000191272,0.000118652,9.90234E-06,0,0,0,0,0,0,0,0,0,0
0.000269852,8.60067E-05,1.70439E-05,2.20169E-05,4.44E-07,0,0,0,0,0,0,0,0,0,0,0
0.000263295,0.000175434,7.05429E-05,1.38E-06,0,0,0,0,0,0,0,0,0,0,0,0
0.000332902,0.000212085,0.000163811,9.95346E-05,8.88774E-06,3.87483E-06,0,0,0,0,0,0,0,0,0,0
0.000299107,0.000164683,8.80603E-05,2.52277E-05,2.44413E-05,1.63604E-05,4.17E-07,0,0,0,0,0,0,0,0,0
0.000405535,0.000281476,0.00013209,9.1737E-06,0,0,0,0,0,0,0,0,0,0,0,0
0.000364174,0.000266327,0.000241456,6.88028E-05,2.22E-06,0,0,0,0,0,0,0,0,0,0,0
0.000301125,0.000326434,0.000209735,0.000124304,4.08837E-05,8.18019E-06,0,0,0,0,0,0,0,0,0,0
0.000265313,0.000231632,0.000135878,3.02732E-05,5.68816E-05,9.60095E-05,0.000101359,3.63703E-05,3.13215E-06,0,0,0,0,0,0,0
0.000399482,0.000167127,5.53928E-05,5.41248E-05,2.79964E-05,1.07634E-05,0,0,0,0,0,0,0,0,0,0
0.000404022,0.000220392,0.000184642,5.22901E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.00021336,4.10486E-05,2.98269E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00015485,0.000140738,0.000169492,9.67825E-05,3.15515E-05,5.16642E-06,0,0,0,0,0,0,0,0,0,0
0.000190662,0.000168593,0.000123568,0.00013256,4.97714E-05,1.63604E-05,0,0,0,0,0,0,0,0,0,0
0.000259764,0.000143182,5.44459E-05,6.42159E-06,0,0,0,0,0,0,0,0,0,0,0,0
0.000269852,0.000130476,1.70439E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000321301,0.000252156,0.000201213,6.23812E-05,3.59954E-05,5.42475E-05,1.25E-06,0,0,0,0,0,0,0,0,0
0.000435294,0.00013634,5.63396E-05,3.89882E-05,1.78E-06,0,0,0,0,0,0,0,0,0,0,0
0.000471106,0.000262418,0.000112206,5.41248E-05,4.44387E-06,0,0,0,0,0,0,0,0,0,0,0
0.000256738,7.96539E-05,0.000133037,0.000113754,7.02133E-05,9.90234E-06,4.17117E-06,1.25276E-05,1.18E-06,0,0,0,0,0,0,0
0.000210333,0.000229188,9.51619E-05,2.66037E-05,2.44413E-05,2.58322E-05,2.54441E-05,1.17193E-05,1.18E-06,0,0,0,0,0,0,0
0.000227483,0.00022479,7.90649E-05,2.33929E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.000225465,0.000205732,0.0001444,1.78887E-05,0,0,0,0,0,0,0,0,0,0,0,0
