"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2023,"a1",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935145190.20674,7007105660.02524,6464217768.00852,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773636.4145504,6306494.99591439,4063502.7950024,145322.201020726,330423.16892174,212903.597214757,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"a2",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935145190.20674,7007105660.02524,6464217768.00852,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773636.4145504,6306494.99591439,4063502.7950024,145322.201020726,330423.16892174,212903.597214757,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"a3",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914934569.44994,7039709818.81,6480463817.63618,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727586.65473192,6245847.76419425,4053546.27407599,142909.465011713,327245.611418834,212381.934199394,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"a4",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914934569.44994,7039709818.81,6480463817.63618,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727586.65473192,6245847.76419425,4053546.27407599,142909.465011713,327245.611418834,212381.934199394,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"a5",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935179541.29243,7007140011.11093,6464252119.09421,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773652.46764078,6306525.91238127,4063524.38860238,145323.042108049,330424.78876239,212904.728592129,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"a6",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935179541.29243,7007140011.11093,6464252119.09421,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773652.46764078,6306525.91238127,4063524.38860238,145323.042108049,330424.78876239,212904.728592129,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"a7",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914968920.53563,7039744169.89569,6480498168.72187,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727602.495239,6245878.24153739,4053567.76076573,142910.294960924,327247.208251989,212383.059975299,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"a8",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914968920.53563,7039744169.89569,6480498168.72187,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727602.495239,6245878.24153739,4053567.76076573,142910.294960924,327247.208251989,212383.059975299,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2024,"a1",212.588515742243,407.654783890711,305.502896746298,21472149.403581,28982052.8527851,25178707.7037981,5768086766.33636,6809874421.42554,6282267368.8105,1112.70459917178,2142.94531877043,1593.10605453459,3937.57218752729,7550.59667054983,5658.53571740335,20609.5548827518,39691.7108015989,29507.5680368479,5620981.51926205,7586924.83057203,6591284.73921415,5115093.18252847,6904101.59582054,5998069.11268488,967511.444002981,1305899.43646221,1134524.88573724,2691663.06569406,6120109.88944806,3943408.13088291,145322.200778103,330423.168290973,212903.596832021,1.46660817659358e-09,3.81240413516209e-09,2.41698867150523e-09
2024,"a2",199.271314708697,382.598283588512,286.565385691991,21838505.1402482,29476541.8358601,25608304.3797421,5811603724.72009,6868611474.90652,6333296297.24743,1125.98274532659,2168.39466767745,1612.0435655889,3690.91050769799,7086.4992645247,5307.77445182849,20855.4931867027,40163.0845637097,29858.3293024227,5687110.71360631,7676182.76975523,6668829.26555785,5232141.85651781,7062088.14817481,6135322.92431322,978893.931579486,1321262.95924412,1147872.23733414,2680141.12529839,6100103.66803117,3928737.67957617,144700.134161789,329343.037511378,212111.542916554,1.46685244359091e-09,3.81282302538899e-09,2.41728120693468e-09
