"scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",2783.78626829462,5338.12367821181,4000.47371287791,281171701.842764,379511755.919375,329708030.724624,65381157820.5715,77189801814.3416,71209385534.2141,14570.5508739632,28061.260653103,20861.2715652409,44632.3085671255,85585.8748528797,64139.3986317861,233608.926808205,449904.814358859,334467.74280298,73605157.5504619,99348627.204025,86311002.8074931,66980693.3709203,90407250.7556628,78543012.5548187,12669287.7433733,17100382.4574928,14856281.3582397,2329943.71239489,5297658.44009892,3413472.91853788,145322.200905415,330423.168621956,212903.597032855,1.46660817406573e-09,3.81240412859179e-09,2.41698866733939e-09
"a2",2118.23195077823,4072.78946958919,3042.2890940326,301105268.416609,406417105.222294,353082562.86035,67285465196.4533,79760142397.3186,73442417630.5504,15243.0318981598,29348.6217423947,21819.4561840862,34427.3982776763,66133.6874918608,49438.6706107271,243925.846950846,469656.07691759,349168.470824039,76942453.9590615,103853146.014952,90224388.8972464,73610180.2492431,99355406.5961953,86316892.5329287,13243719.8877035,17875722.7578236,15529872.9389385,2292627.7692713,5232564.15982095,3365914.21027784,143265.398880934,326985.202242185,210335.192800272,1.46774868967044e-09,3.81435998363272e-09,2.41835455476852e-09
"a3",403.939420788931,1219.49894963431,735.15311356805,279088892.770821,382097700.997753,330803038.089508,86693212671.2777,99063232324.0677,92903400008.85,2112.18111558815,6304.54635080998,3834.87587521027,7628.77490016498,21929.0384006527,13540.6199945056,39783.6108116515,114786.146538413,70634.1510857284,73059919.5735135,100025576.177422,86597653.9501329,66484526.8118973,91023274.3214543,78803865.0946209,12575438.656591,17216902.2995388,14905621.1861666,13750904.1646017,46900917.5363653,24225921.0029206,755258.49839611,2490051.31266403,1315275.9476941,2.11164103852961e-10,8.62928181089263e-10,4.42838310310182e-10
"a4",394.942488569698,1074.1509658196,682.000669017132,298871923.621548,409181203.38723,354250711.992105,88583174223.8942,101650646157.199,95143447952.8642,2127.57145000679,6444.67357710689,3888.02831976119,7408.60310445757,19337.3761080371,12611.1130780589,39901.275748808,116911.832396402,71563.6580021751,76372020.9614492,104559959.757589,90523303.883669,73063940.849325,100030641.936025,86602052.1123832,13145534.1079894,17997383.0732751,15581323.6809765,13745176.255096,47777782.5778184,24470873.1850771,757692.120704632,2547553.78743085,1329493.9164509,2.03478602606517e-10,8.43852695787638e-10,4.29505790548439e-10
"a5",2783.78626829462,5338.12367821181,4000.47371287791,151509136.426765,204478480.250246,177647919.215889,50056111967.0485,56502300956.2335,53237129195.2861,14570.5508739632,28061.260653103,20861.2715652409,44632.3085671255,85585.8748528797,64139.3986317861,233608.926808205,449904.814358859,334467.74280298,39662077.5986295,53528397.9712686,46504690.8942118,36092490.6147528,48710842.1538544,42319268.7137327,6826835.1066641,9213575.50080461,8004619.92016621,1783815.50942592,3877842.46765853,2551959.93344864,111259.338352228,241867.045614324,159169.69675203,2.72202259476996e-09,7.0750859138233e-09,4.4858424309702e-09
"a6",2118.23195077823,4072.78946958919,3042.2890940326,161491482.39498,217950537.945298,189352282.853581,51009752399.9062,57789322962.1526,54355278620.4124,15243.0318981598,29348.6217423947,21819.4561840862,34427.3982776763,66133.6874918608,49438.6706107271,243925.846950846,469656.07691759,349168.470824039,41333331.3216253,55783902.5040668,48464246.4302625,39412409.8758647,53191366.468582,46211894.996528,7114499.65373476,9601804.2185125,8341908.41680894,1738062.96076322,3791196.09197492,2491138.09995209,108610.864219387,236913.486965561,155670.637993556,2.73251443766391e-09,7.10047334777482e-09,4.50217589073282e-09
"a7",403.939420788931,1219.49894963431,735.15311356805,73930651.3411163,156242054.594765,104539577.082113,62882845654.647,72823078912.8914,66726796659.7779,2112.18111558815,6304.54635080998,3834.87587521027,7628.77490016498,21929.0384006527,13540.6199945056,39783.6108116515,114786.146538413,70634.1510857284,19353573.6495069,40901061.4122422,27366381.4351082,17611752.0210513,37219965.8851404,24903407.1059485,3331233.86442137,7040095.19558219,4710438.404518,9974206.25618338,34477667.8360811,17399988.6387768,547826.08834772,1830479.37145925,944681.795337101,5.16412299010887e-10,3.25756186685998e-09,1.40130907855085e-09
"a8",394.942488569698,1074.1509658196,682.000669017132,76832297.08841,165921334.295959,109443593.7859,63176352553.0406,73783468099.8388,67224650353.4849,2127.57145000679,6444.67357710689,3888.02831976119,7408.60310445757,19337.3761080371,12611.1130780589,39901.275748808,116911.832396402,71563.6580021751,19850176.1904554,42531725.0398365,28208377.5363716,18565972.3537496,40428942.1081431,26513419.3565786,3416711.57678213,7320773.17248185,4855366.98344796,9802878.57828192,34679666.3865757,17290164.7891325,540376.036010065,1849150.60271082,939368.559827416,5.00231638386181e-10,3.24665812296704e-09,1.37832398008287e-09
