"year","region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2023,"China","a1",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935145190.20674,7007105660.02524,6464217768.00852,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773636.4145504,6306494.99591439,4063502.7950024,145322.201020726,330423.16892174,212903.597214757,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"China","a2",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935145190.20674,7007105660.02524,6464217768.00852,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773636.4145504,6306494.99591439,4063502.7950024,145322.201020726,330423.16892174,212903.597214757,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"China","a3",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914934569.44994,7039709818.81,6480463817.63618,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727586.65473192,6245847.76419425,4053546.27407599,142909.465011713,327245.611418834,212381.934199394,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"China","a4",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914934569.44994,7039709818.81,6480463817.63618,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727586.65473192,6245847.76419425,4053546.27407599,142909.465011713,327245.611418834,212381.934199394,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"China","a5",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935179541.29243,7007140011.11093,6464252119.09421,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773652.46764078,6306525.91238127,4063524.38860238,145323.042108049,330424.78876239,212904.728592129,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"China","a6",212.28070800747,407.064538951277,305.060557919643,21441059.864671,28940089.7198596,25142251.4367528,5935179541.29243,7007140011.11093,6464252119.09421,1111.09350987589,2139.84253994906,1590.79939011207,4051.61425921485,7769.28108972424,5822.42125529261,21206.4598341918,40841.283358764,30362.1820043183,5612842.89651074,7575939.71724073,6581741.21380964,5107687.03582477,6894105.14268906,5989384.50456677,966110.583561911,1304008.62383006,1132882.20642698,2773652.46764078,6306525.91238127,4063524.38860238,145323.042108049,330424.78876239,212904.728592129,1.4666081718514e-09,3.81240412283641e-09,2.41698866369024e-09
2023,"China","a7",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914968920.53563,7039744169.89569,6480498168.72187,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727602.495239,6245878.24153739,4053567.76076573,142910.294960924,327247.208251989,212383.059975299,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"China","a8",216.815844485846,417.289617276535,306.466771881764,21299674.0088355,29168176.0784654,25255902.6530214,5914968920.53563,7039744169.89569,6480498168.72187,1127.10237018051,2168.55972630182,1598.71465118859,4138.17240100617,7964.43812275404,5849.2604183702,21512.0068021326,41389.3829143169,30513.2535969468,5575830.89236532,7635648.18807994,6611492.84110509,5074006.11205244,6948439.85115274,6016458.48540563,959739.89234838,1314285.94437326,1138003.20527521,2727602.495239,6245878.24153739,4053567.76076573,142910.294960924,327247.208251989,212383.059975299,1.47610568535628e-09,3.88921358657255e-09,2.41808422032771e-09
2023,"Guangxi","a1",7.54708243472806,14.6892315072501,10.8357206141664,1584293.0133451,2177584.25947276,1879385.92325622,313310011.181447,392436750.575017,352666296.870522,39.0840600039322,76.7081775977957,56.1849059941794,144.044492290548,280.360379378365,206.811822710144,745.962910649271,1464.0611908204,1072.35164427025,430514.405800299,591734.853117597,510702.696537016,361632.100872251,497057.276618781,428990.265091094,46434.8532952144,63823.9295224108,55083.882145786,4084440.81182878,10040838.9132432,6276886.83695684,214000.625893158,526080.780924414,328871.87589526,6.60499542962783e-10,1.7817795772757e-09,1.10014899813843e-09
2023,"Guangxi","a2",7.54708243472806,14.6892315072501,10.8357206141664,1584293.0133451,2177584.25947276,1879385.92325622,313310011.181447,392436750.575017,352666296.870522,39.0840600039322,76.7081775977957,56.1849059941794,144.044492290548,280.360379378365,206.811822710144,745.962910649271,1464.0611908204,1072.35164427025,430514.405800299,591734.853117597,510702.696537016,361632.100872251,497057.276618781,428990.265091094,46434.8532952144,63823.9295224108,55083.882145786,4084440.81182878,10040838.9132432,6276886.83695684,214000.625893158,526080.780924414,328871.87589526,6.60499542962783e-10,1.7817795772757e-09,1.10014899813843e-09
